text_no_spaces;text_restored
которыебыли;которые были
дискне;диск не
ипоглощенияКристин;и поглощения Кристин
поручениюпредседателя;поручению председателя
рынкесдолей;рынке с долей
VodafoneGroupBTGroup;Vodafone Group BT Group
организацияконцертовлицензирование;организация концертов лицензирование
Виюне2015года;В июне 2015 года
официальнаяверсияSony;официальная версия Sony
2015годуза;2015 году за
дЭраVirtualBoy;д Эра Virtual Boy
ComputerEntertainmentEuropeSCEE;Computer Entertainment Europe SCEE
системпомощиводителю;систем помощи водителю
1999годудоляна;1999 году доля на
2023годаонапредставила;2023 года она представила
возгораниюивзрывуБольшинство;возгоранию и взрыву Большинство
млрдИзобщегочисла;млрд Из общего числа
производителейВначале;производителей В начале
гидроусилителяподверженыкоррозии;гидроусилителя подвержены коррозии
штабквартирабылаперенесенаиз;штабквартира была перенесена из
ядраи4потока;ядра и 4 потока
илипросто;или просто
5звёздонизаключили;5 звёзд они заключили
еёSNESкотораявоспроизводила;её SNES которая воспроизводила
ичто;и что
робособакуCyberDog2;робособаку CyberDog 2
нодоступна;но доступна
поясненияПроведённоев20072011;пояснения Проведённое в 20072011
жёсткогодиска;жёсткого диска
августа2018Xiaomi;августа 2018 Xiaomi
Psygnosisработалооколо;Psygnosis работало около
программногообеспеченияMotorola;программного обеспечения Motorola
студиипоразработке;студии по разработке
HongKong;Hong Kong
Хетерингтончастоконфликтовалс;Хетерингтон часто конфликтовал с
года28февраля2014;года 28 февраля 2014
году40пришлосьна;году 40 пришлось на
еёконкурентки;её конкурентки
былоподписано;было подписано
зимнихОлимпийскихи;зимних Олимпийских и
КНР100разработкателекоммуникационного;КНР 100 разработка телекоммуникационного
Bluetoothгарнитурына;Bluetoothгарнитуры на
Appleс1984;Apple с 1984
потребителидалисогласиена;потребители дали согласие на
SensingSolutionsISS;Sensing Solutions ISS
miniDellVostroмодели;mini Dell Vostro модели
750доллароввСША;750 долларов в США
5июля1994;5 июля 1994
контроллереразмещалисьдевять;контроллере размещались девять
жедень;же день
системыохлаждения;системы охлаждения
TV4K;TV 4K
сервисаXboxLive;сервиса Xbox Live
КорейскийнародсчитаетSamsung;Корейский народ считает Samsung
рынокв;рынок в
длянекоторыхстрана;для некоторых стран а
этогозаявления;этого заявления
инструментпозволяет;инструмент позволяет
передигрокамив;перед игроками в
Mobileивыпускать;Mobile и выпускать
1февралябыло;1 февраля было
вдебатахПравительствов;в дебатах Правительство в
16Lenovo12;16 Lenovo 12
игркак;игр как
долларовамериканскомупроизводителю;долларов американскому производителю
маркетингуCMO;маркетингу CMO
компаниирасположенвСеуле;компании расположен в Сеуле
до22;до 22
иМинюстаСША;и Минюста США
инженеровподруководством;инженеров под руководством
российскомрынке;российском рынке
000символов;000 символов
Черезмесяц1февраля;Через месяц 1 февраля
Pratamaсообщилаозадержании;Pratama сообщила о задержании
весаТакжеон;веса Также он
длянаблюденияза;для наблюдения за
крупнейшимиизнихбыли;крупнейшими из них были
Унихуставалашея;У них уставала шея
CDRНесмотряна;CDR Несмотря на
рестайлингмодели;рестайлинг модели
статистикаиспользования;статистика использования
ипивастала;и пива стала
состоявшегося9декабря2016;состоявшегося 9 декабря 2016
AM5X870X870EB850;AM5 X870 X870E B850
нарынокLCDтелевизоров;на рынок LCDтелевизоров
примернона;примерно на
производствосвоего;производство своего
обрабатыватьбольшеполигоновчем;обрабатывать больше полигонов чем
годуHuaweiначалаосваивать;году Huawei начала осваивать
третьемквартале2008года;третьем квартале 2008 года
за26млрдевро;за 26 млрд евро
ВьетнамBraeburnCapital;Вьетнам Braeburn Capital
исооружений;и сооружений
компаниейXilinxкрупнейшимпроизводителем;компанией Xilinx крупнейшим производителем
дляармииСуммаконтракта;для армии Сумма контракта
лучшечем;лучше чем
чемза;чем за
первыйноутбукAsus;первый ноутбук Asus
FinanceBV;Finance BV
Automotiveпроизводствоипродажа;Automotive производство и продажа
крупнейшимпроизводителем;крупнейшим производителем
годМодели;год Модели
базирующимсявРоссиии;базирующимся в России и
MSNBCВо;MSNBC Во
PlayStation2;PlayStation 2
неустойчивымиив2001;неустойчивыми и в 2001
поэтомузаинтересоваласьвозможностьюиздания;поэтому заинтересовалась возможностью издания
Donationнаправленнаяпо;Donation направленная по
атакжеигровые;а также игровые
чтопрофсоюзныеактивистыс;что профсоюзные активисты с
ntlИнтелофициальноIntel;ntl Интел официально Intel
можнобольшеи;можно больше и
FundingCorporationIntel;Funding Corporation Intel
Обозревателивцелом;Обозреватели в целом
и92акций;и 92 акций
наразработку;на разработку
Вдекабре2024года;В декабре 2024 года
ResidentEvilИстория;Resident Evil История
долларовДругая;долларов Другая
Bechuвицепрезидент;Bechu вицепрезидент
1килобайтпервой;1 килобайт первой
иучаствует;и участвует
дирижёри;дирижёр и
фондуAmazonDay;фонду Amazon Day
терминалуи;терминалу и
продажииснизилостоимость;продажи и снизило стоимость
идействительно;и действительно
сизменениемкомплектации;с изменением комплектации
обаони;оба они
2012годузарегистрировала;2012 году зарегистрировала
статистикеисследовательскойкомпании;статистике исследовательской компании
Дочерниекомпании;Дочерние компании
в2019;в 2019
маркиDonkeyKongтак;марки Donkey Kong так
которыемы;которые мы
былотестированиепрограммына;было тестирование программы на
древнейяпонской;древней японской
картыпамятиобъёмом8;карты памяти объёмом 8
названиемXiaomi;названием Xiaomi
реальнымии;реальными и
председательибывшийгендиректор;председатель и бывший гендиректор
соответствиискоторымив;соответствии с которыми в
предпринимательмалайзийскогопроисхождения;предприниматель малайзийского происхождения
записина;записи на
сферерепутациисогласно;сфере репутации согласно
корейскогоханджскогослова;корейского ханджского слова
атакжечипсетов;а также чипсетов
Висковомзаявленииутверждалось;В исковом заявлении утверждалось
HealthcareLLCСШАPhilips;Healthcare LLC США Philips
OGSивосьмиядернымпроцессором;OGS и восьмиядерным процессором
768млрддолларов;768 млрд долларов
агентствонанимало;агентство нанимало
обычногоперсонального;обычного персонального
2015годаПосле;2015 года После
ШанхаеКНР;Шанхае КНР
В1989году;В 1989 году
московскойшколеуправления;московской школе управления
продаживЯпонииАвстралии;продажи в Японии Австралии
КорейскойвойныНовый;Корейской войны Новый
1997годавкомпании;1997 года в компании
DSmithнезависимыйчлен;D Smith независимый член
Sonyдолжнабыла;Sony должна была
открылсявянваре2020;открылся в январе 2020
IntelTheunauthorized;Intel The unauthorized
технологияспособнаягенерировать;технология способная генерировать
ТакжеMicrosoftкритикуютза;Также Microsoft критикуют за
продуктомкомпаниив;продуктом компании в
первуюигровую;первую игровую
вмоментстолкновения;в момент столкновения
000или256000;000 или 256 000
выручкиMobileye;выручки Mobileye
Yuanqingпредседательправленияс;Yuanqing председатель правления с
BluRayдисковвгороде;BluRay дисков в городе
протестаГринпис;протеста Гринпис
резкоесокращениеколичества;резкое сокращение количества
ВьетнамIntelProducts;Вьетнам Intel Products
официальногоканаларешенийумной;официального канала решений умной
сообщениямСМИ;сообщениям СМИ
былообъявленоо;было объявлено о
MarioBrosиThe;Mario Bros и The
наэтотразв;на этот раз в
посравлению;по сравлению
сяпонскойкомпаниейOlympus;с японской компанией Olympus
периодсуществованиянарынке;период существования на рынке
квалификациюсреди;квалификацию среди
звукамагнитофоновначал;звука магнитофонов начал
материнскиеплатыкорпуса;материнские платы корпуса
ианглsunny;и англ sunny
иззасанкцийсо;изза санкций со
SLCDCorporation;SLCD Corporation
производителявкотором;производителя в котором
Программапостроенана;Программа построена на
закупаетпродукцию;закупает продукцию
итогекоторойпоявится;итоге которой появится
использоватьперсональныекомпьютеры;использовать персональные компьютеры
кGame;к Game
подразделениепопроизводствусерверов;подразделение по производству серверов
корпорациясписала62млрд;корпорация списала 62 млрд
ОАЭиКитаеРабота;ОАЭ и Китае Работа
неподписанныенеавторизованныеMicrosoft;неподписанные не авторизованные Microsoft
машинойАнонсированныетехнические;машиной Анонсированные технические
созданиеновойсистемыспособной;создание новой системы способной
продажиэлектромобилейTesla;продажи электромобилей Tesla
Junevol1no;June vol 1 no
отдавалипредпочтенияпроцессорам;отдавали предпочтения процессорам
600человеккомпании;600 человек компании
акционероколо13акций;акционер около 13 акций
запределамиКитая;за пределами Китая
быстройзарядкиSupercharger;быстрой зарядки Supercharger
2021года;2021 года
интегральнуюсхему;интегральную схему
В2000годуAMD;В 2000 году AMD
средыдляинтернетавещей;среды для интернета вещей
азавторой;а за второй
в1986;в 1986
системнойлогикичипсетов;системной логики чипсетов
ФрансОттен;Франс Оттен
плановпокупки;планов покупки
заказамиприэтом;заказами при этом
сотрудникови;сотрудников и
Вначалелета2002;В начале лета 2002
внешнеони;внешне они
своейконсолиSwitch;своей консоли Switch
SEУслуги;SE Услуги
научноисследовательскуюдеятельностьсоздавалисьпартнёрства;научноисследовательскую деятельность создавались партнёрства
24октября24;24 октября 24
кодикорпоративная;код и корпоративная
возможномлицензированииFSD;возможном лицензировании FSD
компаниюMotorolaStrategy;компанию Motorola Strategy
подразумевалпожизненноетрудоустройствои;подразумевал пожизненное трудоустройство и
на2006;на 2006
информацииCDROMВ;информации CDROM В
опредустановкезарубежнымипроизводителями;о предустановке зарубежными производителями
директорас;директора с
оборудованиекомпании;оборудование компании
выручкеКитаяЯпонии;выручке Китая Японии
представленкомпьютерApple;представлен компьютер Apple
Storeвсегоболее400;Store всего более 400
отплановпо;от планов по
глубинуизображения;глубину изображения
19911992годах;19911992 годах
1939году;1939 году
начале1990х;начале 1990х
Лимитедкиттрад;Лимитед кит трад
моделейD410D500;моделей D410 D500
49тысяч;49 тысяч
коммуникацийвкомпаниис;коммуникаций в компании с
развлеченийи;развлечений и
памятипервым;памяти первым
своюдолюрынка;свою долю рынка
чтоDellокончательно;что Dell окончательно
взаимодействиемеждуроботамиOptimus;взаимодействие между роботами Optimus
Вмарте2019года;В марте 2019 года
3394и;3394 и
Такжев;Также в
бизнесав;бизнеса в
ManagementCompany;Management Company
Всистемесодержитсявосемь;В системе содержится восемь
магазинытакиекакKay;магазины такие как Kay
основанныхна;основанных на
проблемнапример;проблем например
КурортEverland;Курорт Everland
телепрограммыГеографическое;телепрограммы Географическое
компанииперед;компании перед
Виюле2022;В июле 2022
накаждойоси;на каждой оси
2002МетаМели19082002;2002 Мета Мели 19082002
какобычную;как обычную
параксилолLPG;параксилол LPG
насвоихресурсах;на своих ресурсах
даннаяпродукцияApple;данная продукция Apple
толькоонне;только он не
смартфонсподдержкойсвязи;смартфон с поддержкой связи
32тысячицветови;32 тысячи цветов и
вариацияконсолиPlayStationпредназначалась;вариация консоли PlayStation предназначалась
млндолларовприбыли;млн долларов прибыли
централизованныйводопроводотсутствовалСкорый;централизованный водопровод отсутствовал Скорый
NetworksCabletron;Networks Cabletron
компаниипризнанывиновнымипо;компании признаны виновными по
около100;около 100
кроссоверовTeslaModel;кроссоверов Tesla Model
эксклюзивноелицензионное;эксклюзивное лицензионное
англNewYork2000;англ New York 2000
рублейзазлоупотреблениеммонопольным;рублей за злоупотреблением монопольным
будутпоставлены;будут поставлены
вформатеCDROMбыл;в формате CDROM был
изготовлениюмониторов;изготовлению мониторов
АзиатскоТихоокеанскийрегион17;АзиатскоТихоокеанский регион 17
вспециальномобзореGame;в специальном обзоре Game
Компанияпроизводитмножество;Компания производит множество
киттрадупрпиньинь;кит трад упр пиньинь
Segaкакпроизводителейигрушек;Sega как производителей игрушек
XiaomiHyperOS;Xiaomi Hyper OS
котироватьсянаТокийской;котироваться на Токийской
управлениякомпаниямиувнешних;управления компаниями у внешних
достиглидосудебногосоглашенияв;достигли досудебного соглашения в
6секундСудья;6 секунд Судья
однообъективныхзеркальных;однообъективных зеркальных
30MIPS;30 MIPS
2020годаТрампв;2020 года Трамп в
перейтик;перейти к
PCсовместимыхкомпьютеров;PCсовместимых компьютеров
изделиядляшитья;изделия для шитья
4Великобритания;4 Великобритания
СеданTesla;Седан Tesla
видебетаверсий;виде бетаверсий
былипротивеё;были против её
Техасв;Техас в
тогоLenovoпопалав;того Lenovo попала в
горючееНаэкспортидёт;горючее На экспорт идёт
220GE240GE;220GE 240GE
материнскихплатВ;материнских плат В
АзиатскоТихоокеанскийрегион296млрд;АзиатскоТихоокеанский регион 296 млрд
LGLuckyGoldstar;LG LuckyGoldstar
Storeилижеиспользовать;Store или же использовать
какVodafone;как Vodafone
InternetExplorerсложившаяся;Internet Explorer сложившаяся
инвестицийивитоге;инвестиций и в итоге
вСШАВиюне;в США В июне
оборудованиедлядатацентров;оборудование для датацентров
неёбыловыпущено;неё было выпущено
2022года;2022 года
ITнаправленийподготовкиПрограмма;IT направлений подготовки Программа
работниковкомпанииAppleComputer;работников компании Apple Computer
компанияответилаиспользованиемнаиболее;компания ответила использованием наиболее
ФилипссынАнтона;Филипс сын Антона
октября2019годакомпания;октября 2019 года компания
атакже;а также
откиднойкамеройВ;откидной камерой В
миреКроме;мире Кроме
компанииОфициальным;компании Официальным
чистыйвыпускоригинальной;чистый выпуск оригинальной
в2017;в 2017
Microдля;Micro для
комплектациии;комплектации и
стартовыйкапитал;стартовый капитал
CES1991года;CES 1991 года
марта2006года;марта 2006 года
InstrumentsInc;Instruments Inc
2018года;2018 года
TVHDApple;TV HD Apple
КомпанияMicrosoftактивноподдерживает;Компания Microsoft активно поддерживает
SamsungLifeInsurance;Samsung Life Insurance
собранноеболтовоесоединение;собранное болтовое соединение
Напротяжении;На протяжении
машинкезанималодну;машинке занимал одну
потребителямипродукцииявляютсяпровайдеры;потребителями продукции являются провайдеры
тогопоколенияНеобычным;того поколения Необычным
портативныхПКдлякорпоративного;портативных ПК для корпоративного
вместоили;вместо или
годупродажи;году продажи
былополучение;было получение
мощностиTesla;мощности Tesla
Операционнаясистема;Операционная система
EntertainmentSystemSNES;Entertainment System SNES
наконец2022;на конец 2022
враспоряжениикомпанииаппаратного;в распоряжении компании аппаратного
SonyFinancialGroup;Sony Financial Group
26001833МГц;2600 1833 МГц
AppleStoreвсегоболее;Apple Store всего более
мировогорынкасмартфонов;мирового рынка смартфонов
1994Decemberno65;1994 December no 65
телекоммуникационнойкомпанииTelstraИлон;телекоммуникационной компании Telstra Илон
ирландскиедочерниекомпаниив;ирландские дочерние компании в
этовэтом;это в этом
SonyFinal;Sony Final
10октября;10 октября
Вмарте;В марте
запределы;за пределы
компанииTesla;компании Tesla
состояловтом;состояло в том
Пословам;По словам
приучастиидругихспецслужб;при участии других спецслужб
обстановкисвнезапно;обстановки с внезапно
продукциидляAppleзанимаются;продукции для Apple занимаются
уровняТактовыечастоты;уровня Тактовые частоты
видестолбаконической;виде столба конической
GlaxoSmithKlineи;GlaxoSmithKline и
былаоткрыта11февраля;была открыта 11 февраля
годакомпаниязапустила;года компания запустила
16разрядныйпроцессорIntel;16разрядный процессор Intel
спустяКомпания;спустя Компания
самыхуспешныхигровыхсистем;самых успешных игровых систем
игроваясистема;игровая система
изменилоназвание;изменило название
сформированосовместноепредприятиес;сформировано совместное предприятие с
вшапкеушанкескрасной;в шапкеушанке с красной
USBформатаПоддержкаполноэкранногосглаживания;USBформата Поддержка полноэкранного сглаживания
устройствахВ1975;устройствах В 1975
приемлемыеусловиятруда;приемлемые условия труда
пилотныепроекты;пилотные проекты
БрендIntelчасть1;Бренд Intel часть 1
поэтомумогобрабатывать;поэтому мог обрабатывать
2002годабыли;2002 года были
годачетырьмяинженерами;года четырьмя инженерами
с1983;с 1983
чтодолжнозанять;что должно занять
сострогимследованием;со строгим следованием
1976года;1976 года
системыпомощиводителю;системы помощи водителю
ифабрикации;и фабрикации
СШАШтат;США Штат
РекламнаякампанияThink;Рекламная кампания Think
кинескопдляцветных;кинескоп для цветных
прототипсвоихновых;прототип своих новых
64и;64 и
черезTOSLINKСетевое;через TOSLINK Сетевое
еговенчурному;его венчурному
выпущено7918игр;выпущено 7 918 игр
надкоторойонтайно;над которой он тайно
вмесяци;в месяц и
6sigmaЗдесьразрабатывают;6 sigma Здесь разрабатывают
годаAMDза;года AMD за
Сделкасопряженас;Сделка сопряжена с
можетвыполнять;может выполнять
директорCFOКэтринАдамс;директор CFO Кэтрин Адамс
компаниизаявив;компании заявив
днядоэтого;дня до этого
TomPLantzschстарший;Tom P Lantzsch старший
приэтом;при этом
Вянваре1982года;В январе 1982 года
оценкукредитоспособностиААА;оценку кредитоспособности ААА
будутподдерживатьстилусApple;будут поддерживать стилус Apple
июлеУсловия;июле Условия
MIXMi;MIX Mi
направлениямОдноиз;направлениям Одно из
длясвоихiPhone;для своих iPhone
AmericasIncIntel;Americas Inc Intel
BespokeОнибудутоснащены;Bespoke Они будут оснащены
конгломератсоштабквартиройв;конгломерат со штабквартирой в
сейраз;сей раз
компанияSony;компания Sony
оборудованныхвебкамерами;оборудованных вебкамерами
Такжев2015году;Также в 2015 году
IntelMaxSeriesЧипсеты;Intel Max Series Чипсеты
егокомандане;его команда не
новую16битную;новую 16битную
идругойэлектроники;и другой электроники
млнкомпьютеров;млн компьютеров
ПЗУбылопочти;ПЗУ было почти
еёрешениеиспользовать;её решение использовать
акций25летнейдавности;акций 25летней давности
BroadcastingCompanyбылсоздан;Broadcasting Company был создан
клиентскойгруппес2018;клиентской группе с 2018
всанкционный;в санкционный
кибербезопасностиВесной2019года;кибербезопасности Весной 2019 года
KonicaMinoltaSony;Konica Minolta Sony
инструментпозволяет;инструмент позволяет
Sкоторыебыли;S которые были
спредварительным;с предварительным
таккакконгломератлишился;так как конгломерат лишился
проведенымассовыесокращенияперсонала;проведены массовые сокращения персонала
SelfServiceRepair;Self Service Repair
системыноутбука;системы ноутбука
РобертомНойсомна;Робертом Нойсом на
подходитдляюридической;подходит для юридической
КНРPhilips;КНР Philips
Blizzardза;Blizzard за
инадевспециальные;и надев специальные
ребрендингаПриразработкеновой;ребрендинга При разработке новой
компанииПонастояниюГейтса;компании По настоянию Гейтса
крупныхклиентовВ;крупных клиентов В
армиинатерритории;армии на территории
Elphickeопубликовалисследованиеот;Elphicke опубликовал исследование от
ДжефаРаскинакоторыйбыл;Джефа Раскина который был
наГонконгскойфондовойбирже;на Гонконгской фондовой бирже
дефектбатареиSamsungотозвал;дефект батареи Samsung отозвал
первыегоды;первые годы
диагональю599;диагональю 599
направлениябизнеса;направления бизнеса
фирмойSkycom;фирмой Skycom
финансированиеи;финансирование и
нарынкепрограммдля;на рынке программ для
зачто;за что
долларовкупила;долларов купила
ЕвропаБлижнийВостоки;Европа Ближний Восток и
какпоступилвТехасский;как поступил в Техасский
PlayStationClassicкотораявключает;PlayStation Classic которая включает
годАвтомобилиAutomotive;год Автомобили Automotive
иглавакадровойслужбы;и глава кадровой службы
Xiaomiна;Xiaomi на
теоретическидо14процессоров;теоретически до 14 процессоров
высшуюкатегориюНапути;высшую категорию На пути
брендкомпаниибудетзапятнан;бренд компании будет запятнан
МайклГрегуар;Майкл Грегуар
развитиякомпаниизатрагивается;развития компании затрагивается
годаФедеральная;года Федеральная
напоставку;на поставку
навнутреннийрынокЮжной;на внутренний рынок Южной
сентября1970года;сентября 1970 года
апреле2025годакомпания;апреле 2025 года компания
внашемстилизованныйкак;в нашем стилизованный как
насветодиодыина;на светодиоды и на
WeRobot;We Robot
1996года;1996 года
музыкальнуюпремию;музыкальную премию
уWesternElectricлицензию;у Western Electric лицензию
Pokemonсталанеменее;Pokemon стала не менее
купленысайтыпоторговле;куплены сайты по торговле
ДхаванNeelam;Дхаван Neelam
завершенияадаптации;завершения адаптации
магнитнойполосойДля;магнитной полосой Для
картыпамятиобъёмом;карты памяти объёмом
годSamsungTotalPetrochemicals;год Samsung Total Petrochemicals
с2004годаАндреа;с 2004 года Андреа
ассоциацииилисвязанноемышление;ассоциации или связанное мышление
компаниидостигла736;компании достигла 736
диагональю47дюймов;диагональю 47 дюймов
наиспользованииуже;на использовании уже
programmablereadonly;programmable readonly
GoВмагазинеотсутствуют;Go В магазине отсутствуют
тотмоментВ1993;тот момент В 1993
видовхимическихсоединенийи;видов химических соединений и
AmazonStudiosВдекабре;Amazon Studios В декабре
Нижегородскойобласти;Нижегородской области
подчиняетсяДжеффу;подчиняется Джеффу
носителейТем;носителей Тем
ConnectedCareHealth;Connected Care Health
AMDвыпускаетпервую;AMD выпускает первую
владельцемпрофессиональной;владельцем профессиональной
долларовпосравнениюс;долларов по сравнению с
копийВитоге;копий В итоге
McNamaraстарший;McNamara старший
денежноговзысканиясоставил500;денежного взыскания составил 500
собственнуюкомпанию18июля;собственную компанию 18 июля
акцииторгуются;акции торгуются
ипр;и пр
организациюФестиваля;организацию Фестиваля
изощрённойпроверкойнетолько;изощрённой проверкой не только
годахNintendo;годах Nintendo
Intelкромеэтого;Intel кроме этого
химическойпромышленностионаявляется;химической промышленности она является
такжебыла;также была
CoLtdТаиланд100;Co Ltd Таиланд 100
запущенановаялинейка;запущена новая линейка
временисвоемублаготворительномуфонду;времени своему благотворительному фонду
половинаL2кеша256;половина L2кеша 256
PegatronCorporationМатеринскиеплаты;Pegatron Corporation Материнские платы
млндолларов;млн долларов
февраля2014года;февраля 2014 года
среднейибольшойгрузоподъёмности;средней и большой грузоподъёмности
768млрддолларов;768 млрд долларов
графическойсистемы125;графической системы 125
Intelподалаапелляциюодновременно;Intel подала апелляцию одновременно
ИндианаКитаеХойчжоу;Индиана Китае Хойчжоу
иапертурнойрешёткой;и апертурной решёткой
64уступившейпо;64 уступившей по
компьютерысерверы;компьютеры серверы
успехукомпанииПриёмник;успеху компании Приёмник
взаключенииговоритсячто;в заключении говорится что
времяотвечал;время отвечал
DotComJuggernautWW;DotCom Juggernaut W W
IntelP41G41KIntel;Intel P41G41 K Intel
619млрд;619 млрд
дополненияввиде;дополнения в виде
ввозув;ввозу в
дистрибуцияITпродукции;дистрибуция ITпродукции
компаниинаходятсяв;компании находятся в
обозначенияпортативныхаудиокассетных;обозначения портативных аудиокассетных
членсоветадиректоров;член совета директоров
телефонахамериканского;телефонах американского
чтокомпания;что компания
проектированияСтаршиевицепрезидентыРут;проектирования Старшие вицепрезиденты Рут
дляатак;для атак
компаниейновосозданнойфинансовойкомпании;компанией новосозданной финансовой компании
инженерипрограммист;инженер и программист
adaptertypecannot;adapter type cannot
итогамянваря2022;итогам января 2022
ГалереяПримечанияСсылки;Галерея Примечания Ссылки
Сингапурпроизводствои;Сингапур производство и
годатакже;года также
сталооднимиз;стало одним из
Посостоянию;По состоянию
ФСБзаявилачто;ФСБ заявила что
полностьюсдистанционнымобучением;полностью с дистанционным обучением
частногобраузеранеизвестный;частного браузеранеизвестный
вкомпаниис1987;в компании с 1987
20летиедеятельностиIntelв;20летие деятельности Intel в
соучредительидиректоринвестиционной;соучредитель и директор инвестиционной
случаяхкомпанияHuawei;случаях компания Huawei
9785604370148ФлоранГорж;9785604370148 Флоран Горж
надежностьюкомпонентовсервернаясерия;надежностью компонентов серверная серия
кварталекомпанияпредоставитлицензию;квартале компания предоставит лицензию
вобласти;в области
началосьв1991году;началось в 1991 году
известночто;известно что
включающийвсебя;включающий в себя
ктомувременив;к тому времени в
включаяспискиклиентов;включая списки клиентов
августа2025годаПрезидент;августа 2025 года Президент
1996году;1996 году
вконструктивеSECC2;в конструктиве SECC 2
500млрдпараметровСлияния;500 млрд параметров Слияния
группырешений;группы решений
совсемииграмисозданными;со всеми играми созданными
Длительноевремя;Длительное время
запервоеместосамой;за первое место самой
заявленочтоначалопоставок;заявлено что начало поставок
вставитьв;вставить в
COOКейванКешвариKeivan;COO Кейван Кешвари Keivan
годубыла;году была
черезвозможностьзагрузки;через возможность загрузки
2019года;2019 года
Спонсорствои;Спонсорство и
AMDучаствует;AMD участвует
процессорыFX8xxx9xxx;процессоры FX8xxx9xxx
АкиоМоритаэтоназвание;Акио Морита это название
позволилоExxonMobilвновьсоперничать;позволило ExxonMobil вновь соперничать
решениевысокий;решение высокий
ЦифровойконтентплатформаApp;Цифровой контент платформа App
стороннегоразработчикаSquaresoftКомпания;стороннего разработчика Squaresoft Компания
изсамыхкрупныхбогатых;из самых крупных богатых
процессоровKirin;процессоров Kirin
руководствоРойЯкобс;руководство Рой Якобс
прекратилаоперации;прекратила операции
наборминиигрдля;набор миниигр для
LenovoEnterpriseSolutions;Lenovo Enterprise Solutions
изменениямвпривычкахслушать;изменениям в привычках слушать
2018году;2018 году
зарубежомВ1939;за рубежом В 1939
линейканоутбуков;линейка ноутбуков
серверамиSystemCenterдочерние;серверами System Center дочерние
Global2000за;Global 2000 за
предлагатьпосредническиеуслугидругим;предлагать посреднические услуги другим
бывшийглавный;бывший главный
своюактивностьвгосударственных;свою активность в государственных
бременив;бремени в
2014годусоставил;2014 году составил
вразмере500млн;в размере 500 млн
доступныпоплатной;доступны по платной
2020годанаWWDC;2020 года на WWDC
Однаков;Однако в
сотрудникамисостороныкорпорации;сотрудниками со стороны корпорации
отмечаетчтопод;отмечает что под
